volledigeOmschrijving,soortWoning
"[-0.15705879 -0.3950767   2.1206124   0.966405    0.71048194 -0.5222848
  3.704227    0.21250844 -2.494235   -0.9406425 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.15705879 -0.3950767   2.1206124   0.966405    0.71048194 -0.5222848
  3.704227    0.21250844 -2.494235   -0.9406425 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.11170802 -0.5263081   2.1651402   1.0759304   0.7834169  -0.5328861
  3.638824   -0.0130637  -2.4240515  -1.1525047 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.19073068 -0.5793305   2.147775    1.7239233   0.5318198  -0.18723466
  4.7381954   0.30115676 -2.5598369  -1.1553602 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.09611531 -0.2933437   1.8333218   0.9435144   0.70184684 -0.3476484
  3.5062106   0.36472932 -2.3831332  -0.9812126 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.07684381 -0.14201653  1.7318215   0.5665849   0.70350724 -0.40680897
  2.8793712   0.55463964 -2.4318511  -1.0500728 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.23215668 -0.1644922   1.6625077   0.6760005   0.6481821  -0.42212752
  2.873433    0.32827666 -2.2417471  -0.93852735]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.14991026 -0.46270657  2.1580198   1.6565517   0.6382503  -0.14994474
  4.713566    0.3746222  -2.7717175  -1.1875623 ]","[ 0.59497327 -0.65674216  1.3366867  -0.38305002  0.388638   -0.9102993
  1.1327045   1.3827949  -1.576508    0.0042541 ]"
"[-0.03706815 -0.33930126  1.9048625   1.1636298   0.67510587 -0.30137524
  3.946821    0.42572266 -2.4628184  -0.93629616]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.4731777  -0.599603    1.610295    1.2097852   0.4905981  -0.00846461
  4.077742    0.8661596  -2.2403004  -0.8782148 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.5239044  -0.6213883   1.3281382   0.9498676   0.39697987  0.14287579
  3.5887685   0.83184385 -2.0162935  -0.7973158 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.21223672 -0.5561131   2.3078623   1.7665192   0.54366463 -0.26897025
  4.702671    0.12384382 -2.6180577  -1.3614838 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.07629818 -0.28062806  1.7319515   0.9425118   0.59864736 -0.2573922
  3.4764152   0.3926414  -2.340272   -0.9117309 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[-0.28049642 -0.23824745  1.8408034   0.8125516   0.7161902  -0.44078562
  3.1705484   0.03827797 -2.3269124  -0.95566624]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.2577853  -0.51702905  1.9338948   1.3746907   0.5809643  -0.21307707
  4.380497    0.5054307  -2.3893542  -0.95840424]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.02265413 -0.47709483  2.130519    1.175978    0.80409807 -0.45581958
  3.9440126   0.2583734  -2.5232596  -1.1012119 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.05825039 -0.41578963  1.9412445   1.1548477   0.775091   -0.29250896
  4.2955675   0.5031818  -2.6584704  -0.81916547]","[-0.07738863  0.01885212  0.20752041 -0.0423303   0.17344359 -0.01156273
  0.20181432  0.16586983 -0.42901123 -0.3447904 ]"
"[-0.01873067 -0.22896996  1.8354912   0.82920325  0.6201253  -0.37787977
  3.02242     0.25124496 -2.2791526  -1.1882454 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.1292998  -0.49891245  2.2233686   1.6105183   0.641341   -0.2036793
  4.633648    0.28741017 -2.7037728  -1.3020735 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.19145201 -0.6455766   1.9432242   1.2558968   0.6140075  -0.2443047
  3.958015    0.30800876 -2.3405046  -1.1343752 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.43151385 -0.71942294  1.6499578   1.4225701   0.4067738  -0.06241909
  3.9919357   0.7156485  -2.2677143  -1.0794961 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.2596601  -0.52404094  1.9639703   1.2946353   0.67690504 -0.2538104
  4.296922    0.63107944 -2.610313   -0.97539556]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.11894661 -0.23697673  2.2347884   0.8884192   0.9253755  -0.49319065
  3.716783    0.16148359 -2.7206333  -1.2299325 ]","[ 0.15460919 -0.25670204  1.7537966   0.3169338   1.0194396  -0.23146558
  2.4699755   0.5530079  -1.5925779   0.21318431]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[ 0.09886773 -0.27761412  1.681776    0.8873428   0.70621014 -0.1955444
  3.2344682   0.58809704 -2.205885   -0.9913893 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.2431139  -0.6360184   1.595883    0.9825249   0.5515756  -0.24389729
  3.530992    0.5563824  -2.1483948  -0.86843485]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.03402188 -0.5424713   1.9227432   1.3079145   0.5924419  -0.3955176
  3.9169548   0.22574402 -2.3825955  -0.99770516]","[ 0.01483092 -0.635381    2.3159885   0.37963808  1.0640539  -0.78435093
  2.4837074   0.7381039  -2.6426222  -0.4217416 ]"
"[-2.7215594e-01 -3.8656113e-01  2.0966835e+00  8.6498708e-01
  7.3290610e-01 -5.3509766e-01  3.4985957e+00 -1.8591540e-03
 -2.5335057e+00 -1.0931973e+00]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.14405839 -0.5362618   1.9469267   1.3203874   0.57156783 -0.33070824
  4.106686    0.41095573 -2.4036129  -0.95847374]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.26796454 -0.24068297  2.0744944   0.9141655   0.75872433 -0.5343634
  3.3413289  -0.03959462 -2.453351   -1.0956227 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.29936346 -0.63678896  1.9020404   1.2744852   0.6250742  -0.2923928
  4.307287    0.6346319  -2.5212622  -0.88533527]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-2.0075284e-01 -3.6046001e-01  1.9284581e+00  8.6410218e-01
  6.8370730e-01 -4.7026929e-01  3.1810427e+00  2.5358959e-03
 -2.2510569e+00 -1.0070965e+00]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.02271776 -0.40934998  2.1193542   1.2351563   0.6419049  -0.35781753
  3.885091    0.24837238 -2.4978268  -1.2158886 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.09093013 -0.36192873  2.0139942   0.8232058   0.81500477 -0.41405874
  3.3327587   0.144586   -2.3984947  -1.0628511 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[-0.12051828 -0.41873026  2.1665986   1.1751515   0.7509374  -0.473985
  3.944518    0.13407966 -2.563649   -1.113503  ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.11894661 -0.23697673  2.2347884   0.8884192   0.9253755  -0.49319065
  3.716783    0.16148359 -2.7206333  -1.2299325 ]","[ 0.15460919 -0.25670204  1.7537966   0.3169338   1.0194396  -0.23146558
  2.4699755   0.5530079  -1.5925779   0.21318431]"
"[ 0.30432835 -0.6328247   2.233862    1.6513144   0.60712606 -0.24251069
  4.639803    0.170207   -2.6840374  -1.324016  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.11894661 -0.23697673  2.2347884   0.8884192   0.9253755  -0.49319065
  3.716783    0.16148359 -2.7206333  -1.2299325 ]","[ 0.15460919 -0.25670204  1.7537966   0.3169338   1.0194396  -0.23146558
  2.4699755   0.5530079  -1.5925779   0.21318431]"
"[ 0.00896873 -0.1014351   1.6343488   0.620178    0.7984682  -0.28765503
  3.273393    0.9571835  -2.5770504  -0.8713028 ]","[-0.02273987 -0.05700121  0.24822062  0.10422705  0.16655417 -0.00453332
  0.2210789   0.24636063 -0.39721322 -0.23377459]"
"[-0.05709307 -0.4828747   2.212441    1.4459119   0.6714994  -0.38760862
  4.3957267   0.22058475 -2.619283   -1.0951036 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.04664786 -0.45910543  2.097719    1.2402793   0.6712821  -0.36930725
  4.087612    0.37038916 -2.6087444  -1.0059357 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.11022029 -0.4294246   2.0172467   1.334392    0.5510701  -0.16830635
  4.3921156   0.35650778 -2.5084743  -0.9447045 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.11894661 -0.23697673  2.2347884   0.8884192   0.9253755  -0.49319065
  3.716783    0.16148359 -2.7206333  -1.2299325 ]","[ 0.15460919 -0.25670204  1.7537966   0.3169338   1.0194396  -0.23146558
  2.4699755   0.5530079  -1.5925779   0.21318431]"
"[ 0.11249949 -0.44519618  1.9809664   1.2451322   0.6198979  -0.26701635
  3.960371    0.31301236 -2.3570242  -1.0524352 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.22897956  0.07685176  1.1443285   0.03913195  0.7340539  -0.36535943
  1.9340291   1.1246501  -2.2730536  -0.81833464]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.06667604 -0.49929395  2.1017017   1.3484051   0.58372056 -0.26741433
  4.0165997   0.1974057  -2.4801664  -1.3036811 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.20470054 -0.26554677  1.8597983   0.7959628   0.6800233  -0.4222466
  3.1166823   0.03703035 -2.222464   -0.8760489 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[-0.17920849 -0.2685871   1.8518229   0.7863257   0.6791333  -0.43192747
  3.1079903   0.05922687 -2.2367315  -0.8988038 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[ 0.03493461 -0.44259274  1.8271937   1.2619352   0.5669246  -0.22032385
  3.6041934   0.19799908 -2.2495084  -1.1166928 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[-0.1310212  -0.39168286  2.1264987   1.091824    0.75091213 -0.49012318
  3.795464    0.10608428 -2.4993124  -1.0903537 ]","[ 0.59497327 -0.65674216  1.3366867  -0.38305002  0.388638   -0.9102993
  1.1327045   1.3827949  -1.576508    0.0042541 ]"
"[ 0.22646388 -0.49939984  1.7800678   1.2236557   0.5438234  -0.17449056
  3.9766283   0.68069744 -2.4061513  -0.9613361 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.2249591  -0.53876686  1.9969275   1.2979045   0.61201847 -0.23434773
  4.171795    0.50421965 -2.4271595  -1.1121824 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.15705879 -0.3950767   2.1206124   0.966405    0.71048194 -0.5222848
  3.704227    0.21250844 -2.494235   -0.9406425 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.17350046 -0.2826879   1.7912391   0.74744266  0.6686768  -0.4120901
  3.046747    0.08540208 -2.1800396  -0.8366367 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.17920849 -0.2685871   1.8518229   0.7863257   0.6791333  -0.43192747
  3.1079903   0.05922687 -2.2367315  -0.8988038 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.02847284 -0.4656033   2.2243059   1.3050736   0.69841063 -0.44580248
  4.2636642   0.22248094 -2.5507176  -1.0613278 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.12222846 -0.19237521  1.584521    0.5118885   0.6859765  -0.37754482
  2.4375517   0.53548187 -2.279647   -0.98526216]","[ 0.01631531 -0.4540398   1.959293    0.8443086   1.0929123  -0.5098992
  3.0287638   0.7501013  -2.4120271   0.42424735]"
"[ 0.2932432  -0.583796    1.6510082   1.2316374   0.52435356 -0.16890213
  3.8474555   0.608381   -2.2186503  -0.8282112 ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[ 0.05761383 -0.45560336  2.251924    1.1580496   0.8056464  -0.42548645
  4.183504    0.22416207 -2.801644   -1.1779956 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.12037858 -0.38504487  1.7737918   0.82580644  0.5836821  -0.46344164
  2.9959314   0.09089241 -2.123091   -0.9738389 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.02483243 -0.5148215   2.1653347   1.4291384   0.65801615 -0.3464001
  4.3755665   0.21075515 -2.6080709  -1.1777352 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-6.9857357e-05 -4.8065653e-01  1.8976699e+00  1.2820902e+00
  5.6889796e-01 -1.9604990e-01  4.0479693e+00  4.0052834e-01
 -2.5440955e+00 -1.0284438e+00]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.35074922 -0.5777596   1.2723131   0.7349243   0.43371856 -0.08611277
  3.0167506   0.7803077  -1.8440918  -0.7210139 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.17664379 -0.29978424  2.2151237   0.97560155  0.75283194 -0.5672552
  3.3250947  -0.06112168 -2.4280455  -1.2273966 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.04613067 -0.3812717   1.5285732   0.77036554  0.59705967 -0.21474785
  3.0998738   0.5063164  -2.1136303  -0.8563996 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.07391125 -0.22234556  1.1244757   0.4739893   0.5619412  -0.12690322
  2.2627342   0.8334248  -1.9592764  -0.75898135]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[-0.1273435  -0.16327015  1.7340778   1.0317621   0.64879    -0.2839303
  3.7424736   0.58349013 -2.6018007  -0.9202655 ]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.08884332 -0.27958125  1.8667836   1.2258136   0.6938937  -0.12568815
  4.159691    0.46225095 -2.4754384  -0.9657137 ]","[ 0.03340401  0.00362868  0.05054464  0.03486671  0.02141807 -0.08696704
 -0.00127979  0.02218919 -0.22248286 -0.1553921 ]"
"[ 0.15847026 -0.40764856  1.9446975   1.2799187   0.6291691  -0.23157057
  4.1229563   0.42902154 -2.5410018  -1.0165904 ]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.3372691  -0.6660525   1.8359314   1.1821196   0.51673484 -0.1829957
  3.8579996   0.44840154 -2.1694605  -1.0318406 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.09458186 -0.366584    2.2329075   1.3584528   0.73592764 -0.4308856
  4.2691426   0.1920721  -2.6268988  -1.1191797 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.07121792 -0.3563933   1.888689    0.98315793  0.6831388  -0.41593468
  3.3456094   0.1102042  -2.350781   -1.146408  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.30039564 -0.2181484   2.0425932   0.6965805   0.8370578  -0.54463327
  3.1449435   0.0724358  -2.4504213  -0.9918187 ]","[ 0.15805565 -0.2914537   1.7116742   0.28575292  1.015504   -0.2981021
  2.3667119   0.57823235 -1.5818272   0.09428302]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[-0.3501371   0.44514588  1.4646465  -0.60460556  1.5849493  -0.9195292
  2.8540747   3.964896   -4.7808223  -1.524505  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.11368953 -0.48235255  1.571416    0.86212194  0.5182794  -0.27207407
  3.091616    0.36421242 -1.9848679  -0.89471143]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 1.8558832e-03 -2.6968056e-01  1.6720047e+00  8.9797157e-01
  7.5221407e-01 -3.5712582e-01  3.5434575e+00  6.1259133e-01
 -2.4862351e+00 -8.5743701e-01]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 1.7652262e-03 -5.5927312e-01  2.2260683e+00  1.3770190e+00
  6.8634421e-01 -4.1955775e-01  4.2717576e+00  1.0530844e-01
 -2.5300467e+00 -1.1525303e+00]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[-0.12037858 -0.38504487  1.7737918   0.82580644  0.5836821  -0.46344164
  2.9959314   0.09089241 -2.123091   -0.9738389 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.15697908 -0.23836772  1.8940128   0.943753    0.7115603  -0.4030738
  3.3534043   0.2363015  -2.4384887  -1.069866  ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.09412175 -0.35900867  2.3454235   1.1318758   0.7479212  -0.51904035
  3.9945557  -0.0311581  -2.4999735  -1.0713272 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[ 0.05761383 -0.45560336  2.251924    1.1580496   0.8056464  -0.42548645
  4.183504    0.22416207 -2.801644   -1.1779956 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.21696883 -0.17547132  1.8237561   0.8823175   0.75154793 -0.39692697
  3.3262565   0.09929051 -2.3170862  -0.8443105 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.22365013 -0.2838029   2.1258447   1.0369161   0.7634488  -0.43164375
  3.6256375   0.09231642 -2.4919777  -1.1024172 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.08099926 -0.3569481   1.9536389   0.95426106  0.6810183  -0.42126852
  3.4433641   0.07348341 -2.360909   -1.0698489 ]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[ 0.17550792 -0.45055264  2.115523    1.3935788   0.6702324  -0.3400395
  4.340815    0.37105778 -2.5574741  -1.0940065 ]","[ 0.0717357  -0.4677799   1.6950203   0.59765935  0.90223306 -0.51058275
  2.617597    0.7054003  -2.1386864   0.3397754 ]"
"[-0.00906836 -0.4699675   2.0205672   1.2556038   0.64059085 -0.33680543
  4.185524    0.42885548 -2.594613   -0.9555464 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.01597551 -0.42249587  2.2181818   0.9901976   0.8159588  -0.42796004
  3.9239228   0.18977219 -2.7530172  -1.2018906 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.05761383 -0.45560336  2.251924    1.1580496   0.8056464  -0.42548645
  4.183504    0.22416207 -2.801644   -1.1779956 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.09400247 -0.25906003  1.5985394   0.7756085   0.6562309  -0.28534326
  3.1991808   0.380571   -2.2151647  -0.74511915]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.17959079 -0.6268392   1.9153475   1.4655634   0.5106543  -0.24787162
  4.257028    0.3294989  -2.4620087  -0.9907759 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.19077022 -0.2106262   1.9829599   1.0080469   0.71404207 -0.29207543
  3.6962364   0.08893635 -2.2399137  -0.85959715]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[ 0.01476327 -0.407731    1.9576871   1.0306511   0.6958814  -0.26774466
  3.79076     0.48495886 -2.4876714  -1.0220522 ]","[ 0.0644864  -0.20595299  1.730357    0.36891654  1.0251042  -0.22943163
  2.4985678   0.49533466 -1.5725082   0.21727325]"
"[-0.01599017 -0.23377582  1.0788151   0.34166682  0.56958276 -0.15959814
  2.041079    0.8628974  -1.991878   -0.82747656]","[-0.02755636 -0.00680246  0.12910232 -0.03503557  0.14055622 -0.01359993
  0.13408905  0.19723958 -0.4061038  -0.21437548]"
