volledigeOmschrijving,soortWoning
"[-0.18768932 -0.22889568  1.8425227   0.70864546  0.71727216 -0.45856
  2.8794703   0.15624107 -2.2972543  -1.1125362 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.33574855 -0.29165655  1.8790084   1.1193063   0.60690516 -0.07201108
  3.9283133   0.510319   -2.3011594  -0.9985537 ]","[ 0.516263   -0.6621382   2.3926668   0.03240407  1.1783825  -0.7523264
  2.9561567   1.2458208  -2.3247283   0.22658013]"
"[ 0.004405   -0.40121132  1.9090006   1.3505286   0.6371843  -0.27760443
  4.1372385   0.4013274  -2.5617704  -0.9940929 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[-0.11409851 -0.41430634  1.9433341   0.980989    0.66556203 -0.47983736
  3.4308589   0.12781529 -2.3225906  -1.0286965 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.06334765 -0.4183747   1.4269727   0.7250852   0.53965694 -0.17205572
  2.9258566   0.56370264 -2.0679533  -0.8685219 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.00457404 -0.5661765   2.11861     1.208146    0.7042912  -0.40235344
  4.1019845   0.3050585  -2.5301883  -1.0888743 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.36985803 -0.3342222   2.693098    0.7332448   1.1627781  -0.78891426
  3.2990246  -0.47924912 -2.5985043  -1.4085244 ]","[-0.02353624 -0.03199091  0.13420671 -0.09938577  0.19096956 -0.04419796
  0.1448713   0.29160935 -0.46693444 -0.34187686]"
"[-0.25333193 -0.5121894   2.2943022   0.76703     1.0361794  -0.5575811
  3.1272619  -0.17744267 -2.3258882  -1.3781261 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.4074009  -0.80429125  1.5533715   1.0871502   0.46082067 -0.11061443
  3.7914195   0.8929152  -2.2563617  -0.99563456]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.5966465  -0.76101387  1.4972601   1.2326897   0.3785283  -0.03666184
  3.8055067   0.9350187  -2.185984   -1.0293912 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.00934243 -0.47265428  1.99289     1.262423    0.6261715  -0.3464422
  4.008335    0.38353834 -2.5947452  -1.0608453 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-2.4651423e-01 -3.7693763e-01  2.0619204e+00  1.1075904e+00
  7.1406275e-01 -4.9216178e-01  3.6324768e+00  2.8374149e-03
 -2.4011705e+00 -1.0321901e+00]","[ 0.01631531 -0.4540398   1.959293    0.8443086   1.0929123  -0.5098992
  3.0287638   0.7501013  -2.4120271   0.42424735]"
"[-0.02349763 -0.31716657  1.9266102   1.3577791   0.66794974 -0.27141905
  4.169742    0.2967855  -2.5444734  -0.93161076]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
